crop,model,kdd,delta_log_yield
porumb,monotonic,30.415955268290553,-0.1837452019741793
porumb,monotonic,31.61647360443522,-0.1837452019741793
porumb,monotonic,32.81699194057989,-0.24846913459530462
porumb,monotonic,34.01751027672456,-0.4475934548806689
porumb,monotonic,35.218028612869226,-0.4475934548806689
porumb,monotonic,36.4185469490139,-0.4475934548806689
porumb,monotonic,37.61906528515857,-0.4475934548806689
porumb,monotonic,38.81958362130324,-0.4475934548806689
porumb,monotonic,40.020101957447906,-0.45066910477660643
porumb,monotonic,41.220620293592575,-0.6382454921826186
porumb,monotonic,42.42113862973725,-0.6382454921826186
porumb,monotonic,43.62165696588192,-0.6382454921826186
porumb,monotonic,44.82217530202659,-0.6382454921826186
porumb,monotonic,46.022693638171255,-0.6382454921826186
porumb,monotonic,47.22321197431593,-0.6382454921826186
sfecla,unconstrained,0.09095175346045456,0.0
sfecla,unconstrained,1.1839790717299672,0.004586548349141836
sfecla,unconstrained,2.27700638999948,0.025230964102543357
sfecla,unconstrained,3.3700337082689926,0.026152691457992955
sfecla,unconstrained,4.463061026538505,-0.01683817898058165
sfecla,unconstrained,5.5560883448080185,-0.014167840612676062
sfecla,unconstrained,6.649115663077531,-0.016456343674616212
sfecla,unconstrained,7.742142981347043,-0.01736236102921665
sfecla,unconstrained,8.835170299616557,0.019214833243208496
sfecla,unconstrained,9.92819761788607,0.019214833243208496
sfecla,unconstrained,11.021224936155583,0.019214833243208496
sfecla,unconstrained,12.114252254425095,0.005762365966058766
sfecla,unconstrained,13.207279572694608,0.004741977108262754
sfecla,unconstrained,14.300306890964121,-0.07432523979190879
sfecla,unconstrained,15.393334209233632,-0.11733981604612766
sfecla,unconstrained,16.486361527503146,-0.3378827826020587
sfecla,unconstrained,17.57938884577266,-0.3378827826020587
sfecla,unconstrained,18.672416164042172,-0.3378827826020587
sfecla,unconstrained,19.765443482311685,-0.32282883155291614
sfecla,unconstrained,20.8584708005812,-0.32282883155291614
